idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs
A sorry sight	["%20Something%20sadly%20neglected.%20","%20A%20person%20or%20thing%20of%20untidy%20appearance."]	["%20These%20Georgian%20townhouses%20were%20beautiful%20when%20they%20were%20built%2C%20but%20they%20make%20a%20sorry%20sight%20now%20they%E2%80%99ve%20been%20left%20unoccupied%20and%20vandalised.%20","%20Since%20Jim%20hit%20the%20bottle%20after%20Joan%20left%20him%20he%E2%80%99s%20not%20been%20taking%20care%20of%20himself.%20He%20looked%20a%20sorry%20sight%20today%20just%20dressed%20in%20old%20clothes%20and%20slippers."]	Shakespearian.	Widely used.	https://www.phrases.org.uk/idioms/audio/a-sorry-sight.mp3	failure	a sorry sight
A stitch in time saves nine	["A%20small%20effort%20made%20at%20the%20right%20time%20might%20save%20a%20calamity%20later%20on."]	["Fixing%20that%20frayed%20rope%20was%20a%20real%20stitch%20in%20time.%20It%20would%20probably%20have%20snapped%20when%20the%20wind%20got%20up%20later%20if%20we%20hadn%E2%80%99t."]	The United Kingdom. A very old proverb.	In use worldwide, but less commonly than before and mainly by the older generation.	https://www.phrases.org.uk/idioms/audio/a-stitch-in-time-saves-nine.mp3	effort,number,time,adage	a stitch in time saves nine
A stone's throw	["A%20short%20distance."]	["Number%20Ten%20Downing%20Street%20is%20just%20a%20stone%E2%80%99s%20throw%20from%20parliament%20-%20the%20Prime%20Minister%20can%20walk%20there%20in%20no%20time."]	The United Kingdom.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-stones-throw.mp3	location	a stone's throw
a tall order	["If%20you%20say%20something%27s%20a%20tall%20order%2C%20you%20mean%20that%20it%27ll%20be%20hard%20to%20do%20or%20difficult%20to%20achieve.",""]	["Winning%20six%20gold%20medals%20at%20the%20Olympic%20Games%20is%20a%20tall%20order%2C%20but%20not%20impossible.%20Mark%20Spitz%20won%20seven%20at%20the%201972%20Olympics.","Getting%20kids%20to%20read%20600-page%20books%20is%20a%20tall%20order%20these%20days%2C%20but%20the%20writer%20of%20the%20Harry%20Potter%20books%20has%20managed%20to%20do%20it."]				t	a tall order
A taste (or dose) of your own medicine	["Mistreatment%20you%20receive%20in%20retaliation%20to%20that%20you%20gave%20to%20others."]	["You%20always%20made%20me%20work%20on%20Christmas%20Day%20when%20I%20was%20the%20junior.%20Now%20I%E2%80%99m%20in%20charge%20of%20the%20holiday%20rota%20and%20you%20can%20take%20a%20dose%20of%20your%20own%20medicine."]	Aesop.	Widely used.	https://www.phrases.org.uk/idioms/audio/a-taste-of-your-own-medicine.mp3	medical	a taste
A thorn in my flesh	["A%20persistent%20and%20difficult%20to%20ignore%20annoyance."]	["The%20anti-capitalist%20campaigners%20turned%20up%20at%20every%20political%20meeting.%20They%20were%20are%20real%20thorn%20in%20the%20flesh%20for%20the%20government."]	The United Kingdom.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-thorn-in-my-flesh.mp3	nature,religion	a thorn in my flesh
A toss up	["%20The%20flip%20of%20a%20coin%20to%20decide%20on%20something.%20","%20A%20result%2C%20usually%20between%20two%20courses%20of%20action%2C%20which%20is%20uncertain%20and%20could%20go%20either%20way."]	["%20Before%20the%20game%20we%20tossed%20up%20to%20decide%20which%20direction%20we%20would%20be%20playing.%20","%20Who%20will%20win%20the%20Premiership%20this%20year%3F%20It%20looks%20pretty%20even.%20I%E2%80%99d%20say%20it%E2%80%99s%20a%20toss%20up."]	The United Kingdom. An allusion to tossing a coin to decide an outcome.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-toss-up.mp3	luck	a toss up
a vested interest	["If%20you%20have%20a%20vested%20interest%20in%20something%2C%20you%20have%20a%20strong%20personal%20interest%20in%20it%20because%20you%20stand%20to%20gain%20from%20it.",""]	["The%20Minister%20of%20Commerce%20is%20suspected%20of%20having%20vested%20interests%20in%20several%20companies%20that%20have%20won%20big%20government%20contracts%20recently.","As%20both%20a%20shareholder%20in%20a%20publishing%20company%20and%20a%20published%20author%2C%20the%20newspaper%27s%20book%20reviewer%20is%20seen%20as%20having%20vested%20interests%20in%20certain%20publishers."]				law,money,v	a vested interest
a vicious circle	["If%20you%27re%20in%20a%20vicious%20circle%20you%27re%20in%20a%20situation%20in%20which%20the%20solution%20to%20one%20problem%20becomes%20the%20cause%20of%20another%20one%2C%20and%20the%20solution%20to%20that%20one%20causes%20the%20first%20problem%20to%20occur%20again.",""]	["If%20I%20quit%20cigarettes%20I%20put%20on%20weight%2C%20and%20if%20I%20put%20on%20weight%20I%20get%20depressed%2C%20and%20if%20I%20get%20depressed%20I%20start%20smoking%20again.%20It%27s%20a%20vicious%20circle.","I%27m%20in%20this%20vicious%20circle%20where%20the%20more%20I%20work%2C%20the%20more%20I%20spend%20on%20rewarding%20myself%20for%20all%20the%20hard%20work%2C%20so%20no%20matter%20how%20hard%20I%20work%2C%20I%20never%20save%20any%20money."]				v	a vicious circle
a voice (crying) in the wilderness	["You%27re%20a%20voice%20in%20the%20wilderness%2C%20or%20a%20voice%20crying%20in%20the%20wilderness%2C%20if%20you%27re%20expressing%20an%20unpopular%20opinion%20or%20insight.",""]	["When%20Galileo%20stated%20that%20the%20sun%20was%20the%20centre%20of%20the%20solar%20system%2C%20he%20was%20a%20voice%20crying%20in%20the%20wilderness.%20Most%20people%20thought%20he%20was%20crazy%20or%20evil%2C%20or%20possibly%20both.","Clara%20says%20petrol%20engines%20should%20be%20banned%20because%20of%20the%20damage%20they%20cause%20to%20the%20environment.%20She%20says%20most%20people%20laugh%20when%20she%20says%20this%2C%20and%20she%20feels%20like%20a%20voice%20in%20the%20wilderness."]				nature,v	a voice (crying) in the wilderness
a volte-face	["If%20you%20make%20a%20volte-face%2C%20you%20change%20your%20opinion%20or%20your%20decision%20about%20something%20to%20the%20exact%20opposite%20of%20what%20it%20was.",""]	["When%20Nancy%20became%20a%20born-again%20Christian%2C%20she%20made%20a%20volte-face%20in%20her%20views%20on%20abortion%20and%20now%20she%20thinks%20it%27s%20wrong.","For%20some%20reason%20the%20government%20has%20done%20a%20volte-face%20on%20the%20dam%20proposal.%20They%27d%20rejected%20it%20until%20last%20week%2C%20and%20then%20they%20suddenly%20said%20they%27d%20build%20it%20after%20all."]	This phrase derives from the Italian "voltafaccia", as in "volta" (turn) and "faccia" (face). It was adopted by the French, who changed it to "volte-face", and then it was adopted into formal English.			v	a volte-face
a vote of confidence	["A%20vote%20of%20confidence%20is%20something%20that%20shows%20you%27re%20happy%20with%20the%20quality%20of%20something%20or%20pleased%20with%20someone%20or%20their%20work.",""]	["The%20manager%27s%20selection%20of%20the%20same%20players%20for%20this%20week%27s%20game%20was%20seen%20as%20a%20vote%20of%20confidence%20in%20them.","If%20your%20boss%20has%20given%20you%20the%20job%20of%20organising%20a%20seminar%20for%20the%20first%20time%2C%20take%20it%20as%20a%20vote%20of%20confidence%20in%20your%20organisational%20skills."]				v	a vote of confidence
a wake-up call	["An%20event%20acts%20as%20a%20wake-up%20call%20if%20it%20makes%20people%20more%20aware%20of%20a%20danger.",""]	["I%20slipped%20over%20on%20the%20wet%20floor%20in%20my%20bathroom.%20I%20didn%27t%20hurt%20myself%20badly%2C%20but%20it%20was%20a%20wake-up%20call%20and%20I%20went%20out%20and%20bought%20some%20non-slip%20mats%20to%20stick%20on%20the%20floor.","Robert%20had%20a%20pain%20in%20the%20chest%2C%20and%20it%20was%20a%20wake-up%20call%20for%20him.%20Now%20he%27s%20eating%20much%20healthier%20food%20and%20he%27s%20exercising%20more."]				w	a wake-up call
a war of words	["If%20you%27re%20in%20a%20war%20of%20words%20with%20someone%2C%20you%27re%20having%20a%20long%20argument%20or%20dispute%20with%20them.",""]	["The%20leaders%20of%20the%20two%20main%20political%20parties%20are%20in%20a%20war%20of%20words%20over%20the%20issue%20of%20gun%20ownership.%20They%20debate%20the%20topic%20whenever%20they%20see%20each%20other.","The%20war%20of%20words%20between%20community%20leaders%20and%20church%20leaders%20has%20been%20dominating%20the%20newspaper%20headlines%20lately."]				w	a war of words
a weight off your shoulders	["You%20can%20say%20a%20weight%20is%20off%20your%20shoulders%20if%20you%20no%20longer%20have%20to%20worry%20about%20something%20or%20deal%20with%20something%20difficult.",""]	["Thanks%20so%20much%20for%20agreeing%20to%20take%20care%20of%20Snoopy%20while%20I%27m%20away.%20It%27s%20a%20weight%20off%20my%20shoulders%20knowing%20that%20a%20real%20dog%20lover%20will%20be%20looking%20after%20her.","I%20think%20it%20was%20a%20real%20weight%20off%20Cathy%27s%20shoulders%20when%20you%20offered%20to%20take%20care%20of%20the%20arrangements.%20She%27s%20got%20so%20much%20else%20to%20deal%20with%20at%20the%20moment."]	Probably related to the fact that if someone is carrying a heavy object across their shoulders, and they put it down, it's "a weight off their shoulders".			body,w	a weight off your shoulders
a whale of a time	["If%20you%20have%20a%20whale%20of%20a%20time%2C%20you%20have%20a%20great%20time%20and%20really%20enjoy%20yourself.",""]	["I%20went%20to%20a%20karaoke%20club%20with%20my%20friends%20last%20night%20and%20we%20had%20a%20whale%20of%20a%20time.%20It%20was%20great%21","Janet%20said%20she%20had%20a%20whale%20of%20a%20time%20at%20the%20party.%20I%20wish%20I%27d%20gone%20too%20now."]				animals,time,w	a whale of a time
a white lie	["If%20you%20tell%20a%20white%20lie%2C%20you%20say%20something%20that%20isn%27t%20true%20in%20order%20to%20be%20polite%20or%20so%20as%20not%20to%20hurt%20someone%27s%20feelings.",""]	["Sometimes%20it%27s%20better%20to%20tell%20a%20white%20lie%20than%20to%20tell%20someone%20a%20painful%20truth.","I%20really%20didn%27t%20want%20to%20go%20to%20my%20boss%27s%20dinner%20party%2C%20so%20I%20told%20a%20white%20lie%20and%20said%20I%20had%20to%20go%20to%20a%20friend%27s%20wedding%20party%20that%20night."]				colours,w	a white lie
A wolf in sheep's clothing	["Someone%20who%20uses%20the%20pretence%20of%20kindliness%20to%20disguise%20their%20evil%20intent.","A%20wolf%20in%20sheep%27s%20clothing%20is%20someone%20who%20seems%20to%20be%20a%20good%20person%20but%20is%20really%20a%20bad%20person."]	["He%20was%20","%20but%20tried%20to%20pass%20himself%20off%20as%20a%20thirteen%20year%20old%20in%20order%20to%20get%20a%20date%20with%20a%20schoolgirl%20-%20a%20wolf%20in%20sheep%E2%80%99s%20clothing.","The%20priest%20at%20our%20church%20seemed%20to%20be%20a%20very%20warm%20and%20caring%20man%2C%20but%20we%20later%20found%20out%20that%20he%20was%20a%20wolf%20in%20sheep%27s%20clothing.","People%20in%20our%20town%20suspected%20that%20Henry%20was%20a%20wolf%20in%20sheep%27s%20clothing%2C%20but%20I%20think%20they%20were%20wrong."]	Aesop.	Widely used.	https://www.phrases.org.uk/idioms/audio/a-wolf-in-sheeps-clothing.mp3	trickery,animals,clothes,animals,clothing,w	a wolf in sheep's clothing
About face	["%20A%20military%20command%20to%20turn%20when%20on%20parade.%20","%20A%20change%20from%20one%E2%80%99s%20previous%20position."]	["%20Stand%20to%20attention%21%20Present%20arms%21%20About%20face%21%20","%20Winston%20Churchill%20joined%20parliament%20as%20a%20Conservative%20and%20then%20did%20an%20about%20face%20and%20changed%20to%20the%20Liberals%2C%20before%20going%20about%20face%20again%20and%20re-joining%20the%20Conservatives."]	1. USA. 2. British.	Both meanings are widely used.	https://www.phrases.org.uk/idioms/audio/about-face.mp3	military,america	about face
About time	["%20Almost%20time.%20","%20High%20time."]	["%20Hurry%20up%2C%20it%E2%80%99s%20about%20time%20for%20the%20game%20to%20start.%20","%20These%20running%20shoes%20are%20worn%20through.%20It%E2%80%99s%20about%20time%20I%20got%20a%20new%20pair."]	1. and 2., both British.	Both meanings widely used.	https://www.phrases.org.uk/idioms/audio/about-time.mp3	clock,patience	about time
above board	["If%20something%20is%20above%20board%2C%20it%27s%20been%20done%20in%20a%20legal%20and%20honest%20way.",""]	["I%27m%20sure%20the%20deal%20was%20completely%20above%20board%20as%20I%20know%20James%20well%20and%20he%27d%20never%20do%20anything%20illegal%20or%20corrupt.","The%20minister%20claimed%20all%20the%20appointments%20were%20above%20board%20and%20denied%20claims%20that%20some%20positions%20had%20been%20given%20to%20his%20friends."]	Possibly derived from card playing and the fact that card players who keep their hands above the table (or above "the board") can be seen to be playing honestly, without cheating.			a,law	above board
above the law	["If%20someone%20is%20above%20the%20law%2C%20they%20are%20not%20subject%20to%20the%20laws%20of%20a%20society.",""]	["Just%20because%20his%20father%20is%20a%20rich%20and%20powerful%20man%2C%20he%20seems%20to%20think%20he%27s%20above%20the%20law%20and%20he%20can%20do%20whatever%20he%20likes.","In%20a%20democracy%2C%20no-one%20is%20above%20the%20law%20-%20not%20even%20a%20president%20or%20a%20prime-minister."]				a,law	above the law
Absence makes the heart grow fonder	["Our%20feelings%20for%20people%20and%20things%20grows%20when%20we%20are%20apart%20from%20them."]	["I%20enjoyed%20visiting%20Italy%20but%20after%20a%20few%20weeks%20I%20couldn%E2%80%99t%20wait%20to%20get%20home%20to%20my%20wife.%20As%20they%20say%20-%20absense%20makes%20the%20heart%20grow%20fonder."]	The United Kingdom - 19th century.	Still used, predominantly in the UK, mostly by the older generation.	https://www.phrases.org.uk/idioms/audio/absence-makes-the-heart-grow-fonder.mp3	emotion,adage	absence makes the heart grow fonder
Abso-bloody-lutely	["A%20more%20emphatic%20version%20of%20%E2%80%99Absolutely%E2%80%99."]	["Would%20I%20like%20to%20borrow%20your%20new%20Maserati%20for%20a%20day%3F%20Abso-bloody-lutely%20I%20would%21"]	The United Kingdom - 20th century.	Mainly in the UK.	https://www.phrases.org.uk/idioms/audio/abso-bloody-lutely.mp3	slang	abso
Ace in the hole	["A%20saved%2C%20hidden%20advantage%20that%20can%20supply%20a%20victory%20when%20revealed."]	["Pete%20Townshend%20thought%20%E2%80%99I%20can%20see%20for%20miles%E2%80%99%20was%20a%20sure-fire%20hit%20and%20he%20saved%20it%2C%20as%20an%20ace%20in%20the%20hole%2C%20until%20he%20needed%20to%20boost%20the%20group%E2%80%99s%20success."]	USA.	Used worldwide, but not commonly so.	https://www.phrases.org.uk/idioms/audio/ace-in-the-hole.mp3	luck,america	ace in the hole
Achilles' heel	["A%20fatal%20weakness%20in%20an%20otherwise%20strong%20person%20or%20thing.","An%20Achilles%27%20heel%20is%20a%20weakness%20that%20could%20result%20in%20failure."]	["JFK%E2%80%99s%20Achilles%20heel%20was%20his%20inability%20to%20ignore%20the%20charms%20of%20a%20long-legged%20blonde.","He%27s%20a%20good%20golfer%2C%20but%20his%20Achilles%27%20heel%20is%20his%20putting%20and%20it%27s%20often%20made%20him%20lose%20matches.","The%20country%27s%20dependence%20on%20imported%20oil%20could%20prove%20to%20be%20its%20Achilles%27%20heel%20if%20prices%20keep%20on%20rising."]	The United Kingdom - 19th century. From the ancient Greek myth of Achilles whose mother made him invulnerable to attack by dipping him headfirst into a sacred river when he was a baby. She was holding him by one foot, and the heel of this foot wasn't touched by the water so    it became his "weak point" later in life.	Worldwide, but more commonly amongst the older generation.	https://www.phrases.org.uk/idioms/audio/achilles-heel.mp3	the_human_body,greek_origin,a,body	achilles' heel
Across the board	["Applying%20everywhere%20and%20to%20all%20classes%20of%20thing.","If%20something%20is%20across%20the%20board%2C%20it%20relates%20to%20all%20without%20exception."]	["Everyone%20has%20to%20pay%20value-added%20tax.%20It%E2%80%99s%20an%20across%20the%20board%20levy.","The%20company%20has%20promised%20to%20increase%20salaries%20across%20the%20board%2C%20so%20everyone%20will%20get%20a%20pay%20rise.","The%20tax%20cuts%20will%20only%20apply%20to%20low%20and%20middle-income%20families%2C%20so%20they%20won%27t%20be%20across%20the%20board."]	USA. From horse-racing, when bookmakers used to mark up the odds on large boards. An "across the board" bet was one in which equal amounts were bet on the same horse to win, place, or show.	Worldwide.	https://www.phrases.org.uk/idioms/audio/across-the-board.mp3	place,america,a,sports	across the board
Act your age	["Behave%20in%20a%20manner%20appropriate%20to%20your%20stage%20in%20life."]	["Grandad%20is%20doing%20his%20jazz%20dancing%20again.%20So%20embarrassing.%20I%20wish%20he%E2%80%99d%20act%20his%20age."]	The United Kingdom.	Worldwide.	https://www.phrases.org.uk/idioms/audio/act-your-age.mp3	date	act your age
Actions speak louder than words	["Actions%20show%20one%E2%80%99s%20character%20more%20than%20what%20you%20say."]	["She%20spoke%20up%20for%20the%20immigrants%20but%20he%20gave%20them%20a%20bed%20in%20his%20house%20-%20actions%20speak%20louder%20than%20words."]	The United Kingdom - 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/actions-speak-louder-than-words.mp3	effort,language,adage	actions speak louder than words
Adam's ale	["A%20reference%20to%20water%20-%20often%20used%20to%20emphasize%20the%20purity%20of%20water%20compared%20to%20other%20drinks."]	["I%20didn%E2%80%99t%20want%20a%20beer%20when%20I%20finished%20the%20marathon%20-%20Adam%E2%80%99s%20ale%20was%20all%20I%20needed."]	The United Kingdom, 17th century.	Worldwide, but most common in the UK.	https://www.phrases.org.uk/idioms/audio/adams-ale.mp3	name,water	adam's ale
Add fuel to the fire (or flames)	["Make%20a%20bad%20situation%20even%20worse%20than%20it%20is.","If%20you%20add%20fuel%20to%20the%20fire%2C%20you%20do%20something%20to%20make%20a%20bad%20situation%20even%20worse."]	["Going%20into%20that%20race%20riot%20and%20telling%20them%20to%20get%20back%20to%20Africa%20was%20really%20adding%20fuel%20to%20the%20fire.","People%20are%20already%20unhappy%2C%20and%20if%20the%20government%20allows%20oil%20prices%20to%20increase%20it%27ll%20just%20be%20adding%20fuel%20to%20the%20fire.","If%20Billy%27s%20angry%2C%20don%27t%20say%20anything.%20You%27ll%20just%20be%20adding%20fuel%20to%20the%20fire."]	The United Kingdom - 17th century. Probably metaphorical, from the fact that adding a fuel, like petrol or wood, to a fire will make it burn brighter and hotter.	Worldwide.	https://www.phrases.org.uk/idioms/audio/add-fuel-to-the-fire.mp3	conflict,a	add fuel to the fire
Add insult to injury	["To%20further%20a%20loss.%20To%20make%20a%20bad%20situation%20worse.","Someone%20adds%20insult%20to%20injury%20if%20they%20say%20or%20do%20something%20to%20upset%20you%20a%20second%20time%2C%20after%20you%27ve%20already%20been%20upset%20somehow."]	["She%20jilted%20him%20at%20the%20altar%2C%20but%20to%20add%20insult%20to%20injury%2C%20she%20later%20married%20his%20brother.","He%20said%20my%20clothes%20didn%27t%20suit%20me%2C%20and%20then%20to%20add%20insult%20to%20injury%20he%20said%20I%20needed%20to%20lose%20some%20weight%21","The%20bank%20took%20back%20my%20car%2C%20and%20then%20added%20insult%20to%20injury%20by%20cancelling%20my%20credit%20cards%21"]	The United Kingdom - 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/add-insult-to-injury.mp3	emotion,excess,a	add insult to injury
against all odds | against all the odds	["If%20you%20do%20something%20against%20all%20odds%2C%20or%20against%20all%20the%20odds%2C%20you%20do%20it%20even%20though%20there%20were%20many%20problems%20and%20it%20didn%27t%20seem%20possible%20to%20do.",""]	["He%20had%20a%20serious%20accident%20and%20was%20close%20to%20death%20but%2C%20against%20all%20odds%2C%20he%20recovered%20and%20now%20he%27s%20fine.","No-one%20thought%20we%20could%20do%20it%20but%2C%20against%20all%20the%20odds%2C%20we%20won%20the%20Olympic%20gold%20medal."]				a,numbers	against all odds,against all the odds
Against the clock	["In%20a%20great%20hurry%20to%20complete%20something%20before%20a%20set%20deadline."]	["Sorry%2C%20no%20pub%20lunch%20for%20me%20today%2C%20I%E2%80%99m%20up%20against%20the%20clock.%20This%20report%E2%80%99s%20got%20to%20be%20done%20by%20","m%20or%20I%E2%80%99m%20dead."]	The United Kingdom, 20th century. The allusion being that someone is in a race against the clock.	Worldwide.	https://www.phrases.org.uk/idioms/audio/against-the-clock.mp3	work,time	against the clock
agree to differ | agree to disagree	["If%20two%20people%20agree%20to%20differ%2C%20or%20agree%20to%20disagree%2C%20they%20accept%20that%20they%20have%20different%20opinions%20about%20something%20and%20stop%20trying%20to%20change%20each%20other%27s%20opinion.",""]	["We%27re%20never%20going%20to%20think%20the%20same%20way%20about%20politics%2C%20so%20let%27s%20just%20agree%20to%20differ%20and%20leave%20it%20at%20that.","Why%20don%27t%20they%20just%20agree%20to%20disagree%20instead%20of%20arguing%20about%20it%20all%20the%20time%3F"]				a	agree to differ,agree to disagree
ahead of the game	["You%20are%20ahead%20of%20the%20game%20if%20you%20have%20an%20advantage%20over%20your%20competitors%20in%20any%20activity%20in%20which%20you%20try%20to%20do%20better%20than%20others%2C%20such%20as%20in%20business%2C%20academia%2C%20sports%2C%20etc.",""	["We%20got%20ahead%20of%20the%20game%20by%20employing%20the%20best%20people%20in%20our%20research%20laboratories.","You%27ll%20be%20ahead%20of%20the%20game%20when%20you%20start%20at%20university%20if%20you%20do%20a%20lot%20of%20preparation%20before%20the%20term%20begins."]				a,sports	ahead of the game
Ain't my first rodeo	["Said%20by%20someone%20who%20has%20experience%20of%20a%20situation."]	["You%20don%E2%80%99t%20need%20to%20show%20me%20how%20to%20peel%20the%20potatoes%20-%20this%20ain%E2%80%99t%20my%20first%20rodeo%20you%20know."]			https://www.phrases.org.uk/idioms/audio/aint-my-first-rodeo.mp3	animals	ain't my first rodeo
Al desko	["Eating%20one%E2%80%99s%20lunch%20while%20still%20working.%20%28A%20Pun%20on%20%E2%80%99Al%20fresco%E2%80%99.%29."]	["I%E2%80%99m%20too%20busy%20to%20come%20to%20the%20cafe%20this%20lunchtime%20-%20I%E2%80%99ll%20be%20lunching%20al%20desko."]	USA and Britain, in the 1980s	Widely used, but mainly in the 30/40s generations who work in offices.	https://www.phrases.org.uk/idioms/audio/al-desko.mp3	work,language	al desko
Al fresco	["In%20the%20open%20air."]	["The%20weather%E2%80%99s%20lovely%2C%20let%E2%80%99s%20have%20our%20lunch%20al%20fresco%20on%20the%20terrace."]	The United Kingdom adaptation of an Italian expression	Worldwide.	https://www.phrases.org.uk/idioms/audio/al-fresco.mp3	nature,language	al fresco
All at sea	["In%20a%20confused%2C%20disordered%20state."]	["He%20dropped%20his%20notes%20just%20before%20the%20interview%20and%20panicked.%20You%20could%20say%20he%20was%20all%20at%20sea."]	Britain, late 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/all-at-sea.mp3	nature,nautical	all at sea
All bark and no bite	["Having%20lots%20to%20say%20but%20not%20willing%20to%20engage%20in%20a%20fight."]	["There%27s%20always%20one%20loud%20guy%20at%20the%20back%20who%20disappears%20when%20trouble%20starts%20-%20all%20bark%20but%20no%20bite."]	Britain, as a variant of 'his bark is worse than his bite', which is of early 19th century origin.	Worldwide.	https://www.phrases.org.uk/idioms/audio/all-bark-and-no-bite.mp3	animals	all bark and no bite
All Greek to me	["Incomprehensible%2C%20as%20Greek%20is%20to%20someone%20who%20cannot%20speak%20it."]	["He%20says%20that%20quantum%20physics%20isn%27t%20so%20difficult%20but%20it%27s%20all%20Greek%20to%20me."]	Shakespearian, from Julius Caesar, 1601.	Worldwide.	https://www.phrases.org.uk/idioms/audio/all-greek-to-me.mp3	language	all greek to me
all hell broke loose	["You%20can%20say%20%22all%20hell%20broke%20loose%22%20if%20a%20situation%20suddenly%20became%20violent%20or%20chaotic.",""]	["I%20was%20walking%20through%20the%20station%20on%20my%20way%20to%20work%20when%20I%20heard%20this%20huge%20explosion%2C%20and%20then%20all%20hell%20broke%20loose.","Everything%20was%20fine%20in%20the%20club%20until%20someone%20yelled%2C%20%22Fire%21%22%20and%20then%20all%20hell%20broke%20loose%20as%20people%20started%20running%20and%20screaming%20and%20pushing%20each%20other."]				a	all hell broke loose
All in a day's work	["Typical%3B%20a%20normal%20set%20of%20circumstances."]	["Screaming%20through%20red%20lights%20to%20find%20a%20house%20burning%20down.%20All%20in%20a%20day%27s%20work%20if%20you%20are%20a%20fireman."]	Britain, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/all-in-a-days-work.mp3	employment	all in a day's work
All in all	["On%20the%20whole%20-%20when%20everything%20is%20considered."]	["We%27ve%20had%20some%20bad%20times%20in%20our%20marriage%20but%2C%20all%20in%20all%2C%20the%20past%20thirty%20years%20have%20been%20happy."]	Biblical, from Corinthians 15.	Worldwide.	https://www.phrases.org.uk/idioms/audio/all-in-all.mp3		all in all
All kidding aside	["Said%20when%20you%20want%20people%20to%20realise%20you%20are%20speaking%20seriously%2C%20when%20they%20might%20otherwise%20think%20you%20were%20joking."]	["I%20know%20I%27m%20dressed%20as%20a%20circus%20clown%20for%20the%20party%20but%2C%20believe%20me%2C%20the%20kitchen%20is%20on%20fire."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/all-kidding-aside.mp3	joke,america	all kidding aside
All set	["Ready%20to%20go."]	["We%27re%20all%20packed%2C%20tickets%20checked%2C%20the%20kids%20are%20in%20the%20card.%20You%20could%20say%20that%20we%20are%20all%20set%20to%20go."]			https://www.phrases.org.uk/idioms/audio/all-set.mp3		all set
all the rage	["If%20something%20is%20all%20the%20rage%2C%20it%27s%20very%20popular%20or%20it%27s%20in%20fashion%20at%20the%20moment.",""]	["Can%20you%20remember%20when%20disco%20was%20all%20the%20rage%20and%20we%27d%20go%20dancing%20all%20night%20in%20the%20clubs%3F","When%20Hans%20was%20a%20kid%2C%20skate%20boards%20were%20all%20the%20rage."]				a	all the rage
All the way	["Referring%20to%20something%20that%20is%20done%20fully%2C%20especially%20as%20a%20euphemism%20for%20full%20sexual%20activity."]	["I%20hear%20Jill%27s%20parents%20were%20away%20for%20the%20weekend%20so%20she%20and%20Jack%20took%20the%20opportunity%20to%20go%20all%20the%20way%20for%20the%20first%20time."]	USA, mid-20th century (with the sexual connotation)	Worldwide.	https://www.phrases.org.uk/idioms/audio/all-the-way.mp3	sex,euphemism,america	all the way
All thumbs	["Clumsy%20or%20physically%20inept."]	["I%20just%20can%27t%20manage%20to%20tie%20this%20bow%20tie%20-%20I%27m%20all%20thumbs."]	Britain, 19th century. A variant of the 16th century expression 'each finger was a thumb'.	Worldwide, more used by the older generations.	https://www.phrases.org.uk/idioms/audio/all-thumbs.mp3	the_human_body	all thumbs
All together now	["Invitation%20to%20join%20in%20communal%20singing."]	["Come%20on%20all%20of%20you%2C%20let%27s%20have%20a%20sing-song.%20I%27ll%20count%20you%20in%20-%20all%20together%20now."]			https://www.phrases.org.uk/idioms/audio/all-together-now.mp3	music	all together now
Alley cat	["%20A%20cat%20that%20lives%20wild%20in%20a%20town.%20","%20Slang%20term%20for%20a%20prostitute."]	["%20Those%20alley%20cats%20were%20screeching%20and%20chasing%20rats%20in%20the%20yard%20all%20night.%20","%20Jack%27s%20getting%20to%20be%20a%20sex%20addict.%20He%20spends%20all%20his%20time%20with%20bimbos%20and%20alley%20cats."]	USA, 20th century.	Mostly USA	https://www.phrases.org.uk/idioms/audio/alley-cat.mp3	animals,sex,slang,america	alley cat
Alpha Mom	["An%20ambitious%20mother%20who%20aims%20to%20excel%20at%20work%20while%20raising%20children."]	["She%20has%20two%20kids%20and%20is%20desperate%20to%20get%20the%20top%20job%20to%20save%20to%20get%20them%20into%20private%20school%20-%20a%20real%20alpha%20mom."]	USA. A late 20th century adaptation of 'alpha male', which emerged in the 1930s.	Worldwide, but more in the USA than elsewhere.	https://www.phrases.org.uk/idioms/audio/alpha-mom.mp3	family,america	alpha mom
Alphabet soup	["A%20jumble%20of%20words%20or%20letters%2C%20often%20referring%20to%20organisations%20known%20by%20their%20initials%2C%20like%20CIA%20or%20BBC."]	["All%20those%20institutions%20of%20the%20European%20parliament%20are%20confusing%20-%20a%20real%20alphabet%20soup."]	USA. An early 20th century adaptation of the name of the soup made from pasta letters.	Worldwide.	https://www.phrases.org.uk/idioms/audio/alphabet-soup.mp3	language,america	alphabet soup
